"GAME_ID","GAME_DATE","TEAM.TEAM1","TEAM.TEAM2","HALF_PTS.TEAM1","HALF_PTS.TEAM2","LINE_HALF.TEAM1","SPREAD_HALF.TEAM1","LINE.TEAM1","SPREAD.TEAM1","possessions.TEAM1","possessions.TEAM2","final.possessions.TEAM1","final.possessions.TEAM2","pts.TEAM1","pts.TEAM2","P100.TEAM1","P100.TEAM2","H1.P100.TEAM1","H1.P100.TEAM2"
400900255,"2017-02-16 20:00:00","BOS","CHI",58,52,"110.5","+1.5","214.5","-1.5",48,49,90,93,103,104,114.444444444444,111.827956989247,120.833333333333,106.122448979592
400900254,"2017-02-16 19:00:00","WSH","IND",62,52,"104.5","+2.5","216","-2.5",49,50,92.5,95,111,98,120,103.157894736842,126.530612244898,104
400900252,"2017-02-15 22:30:00","ATL","LAC",40,54,"111.5","-3","213.5","+4",48.5,48,98.5,96,84,99,85.2791878172589,103.125,82.4742268041237,112.5
400900253,"2017-02-15 22:30:00","SAC","GS",50,47,"117","+13.5","226.5","+18.5",52.5,48,103.5,96.5,86,109,83.0917874396135,112.953367875648,95.2380952380952,97.9166666666667
400900251,"2017-02-15 21:30:00","NY","OKC",60,62,"107.5","+4.5","218.5","+7.5",53.5,52.5,102,103.5,105,116,102.941176470588,112.07729468599,112.14953271028,118.095238095238
400900248,"2017-02-15 21:00:00","MIN","DEN",62,60,"109","+5.5","226.5","+6.5",49.5,52.5,98,103,112,99,114.285714285714,96.1165048543689,125.252525252525,114.285714285714
400900249,"2017-02-15 21:00:00","POR","UTAH",37,40,"99.5","+4.5","205","+9",47,49,96,97.5,88,111,91.6666666666667,113.846153846154,78.7234042553192,81.6326530612245
400900250,"2017-02-15 21:00:00","LAL","PHX",48,68,"111","-4.5","226","+4.5",55.5,54,112,108,101,137,90.1785714285714,126.851851851852,86.4864864864865,125.925925925926
400900246,"2017-02-15 20:00:00","NO","MEM",50,43,"101.5","+8","204.5","+8",49,51,94,103.5,95,91,101.063829787234,87.9227053140097,102.040816326531,84.3137254901961
400900247,"2017-02-15 20:00:00","MIA","HOU",58,45,"110","+9.5","224.5","+10",46,46.5,95,95.5,117,109,123.157894736842,114.13612565445,126.086956521739,96.7741935483871
