Charlotte,Louisville,58,+39,09/01/2016,2016-09-01 12:00:28.486561
Tulane,Wake Forest,44,+16.5,09/01/2016,2016-09-01 12:00:28.486561
Indiana,Florida International,63,-10.5,09/01/2016,2016-09-01 12:00:28.486561
Appalachian State,Tennessee,60,+21,09/01/2016,2016-09-01 12:00:28.486561
Rice,Western Kentucky,63.5,+16,09/01/2016,2016-09-01 12:00:28.486561
South Carolina,Vanderbilt,41.5,+4,09/01/2016,2016-09-01 12:00:28.486561
Oregon State,Minnesota,55.5,+13,09/01/2016,2016-09-01 12:00:28.486561
Rice,Western Kentucky,63,+16,09/01/2016,2016-09-01 12:06:19.378700
Tulane,Wake Forest,43,+16.5,09/01/2016,2016-09-01 12:36:12.877554
Indiana,Florida International,63.5,-10.5,09/01/2016,2016-09-01 12:48:10.724297
South Carolina,Vanderbilt,41,+4,09/01/2016,2016-09-01 13:12:24.947348
Appalachian State,Tennessee,60,+21.5,09/01/2016,2016-09-01 13:18:05.401969
Rice,Western Kentucky,63,+16.5,09/01/2016,2016-09-01 13:30:23.410772
Tulane,Wake Forest,43,+15.5,09/01/2016,2016-09-01 13:48:22.523254
Indiana,Florida International,64,-10.5,09/01/2016,2016-09-01 13:54:14.034882
Tulane,Wake Forest,43,+16,09/01/2016,2016-09-01 14:36:18.880081
South Carolina,Vanderbilt,41,+4.5,09/01/2016,2016-09-01 14:54:05.353400
South Carolina,Vanderbilt,41,+5,09/01/2016,2016-09-01 15:18:21.135519
Appalachian State,Tennessee,59,+21.5,09/01/2016,2016-09-01 15:36:20.640966
Rice,Western Kentucky,63.5,+16.5,09/01/2016,2016-09-01 15:36:20.640966
Rice,Western Kentucky,64,+16.5,09/01/2016,2016-09-01 16:18:24.181316
Oregon State,Minnesota,56,+13,09/01/2016,2016-09-01 16:54:14.972773
Indiana,Florida International,64.5,-10.5,09/01/2016,2016-09-01 17:00:12.215126
Charlotte,Louisville,58.5,+39,09/01/2016,2016-09-01 17:24:05.973943
Tulane,Wake Forest,43,+14.5,09/01/2016,2016-09-01 18:06:15.074106
Indiana,Florida International,64.5,-11,09/01/2016,2016-09-01 18:06:15.074106
Rice,Western Kentucky,64,+17,09/01/2016,2016-09-01 18:12:22.753153
Appalachian State,Tennessee,59,+22,09/01/2016,2016-09-01 18:36:21.798462
Indiana,Florida International,65,-11,09/01/2016,2016-09-01 18:48:10.567045
Rice,Western Kentucky,64.5,+17.5,09/01/2016,2016-09-01 18:48:10.567045
South Carolina,Vanderbilt,40.5,+5,09/01/2016,2016-09-01 18:48:10.567045
Tulane,Wake Forest,42.5,+14,09/01/2016,2016-09-01 18:54:09.326152
Rice,Western Kentucky,65,+17.5,09/01/2016,2016-09-01 18:54:09.326152
Rice,Western Kentucky,65,+18,09/01/2016,2016-09-01 19:30:13.649614
South Carolina,Vanderbilt,40,+5,09/01/2016,2016-09-01 19:36:10.018677
South Carolina,Vanderbilt,40,+4.5,09/01/2016,2016-09-01 19:48:12.954811
Rice,Western Kentucky,65,+18.5,09/01/2016,2016-09-01 20:00:16.990942
Oregon State,Minnesota,56,+13.5,09/01/2016,2016-09-01 21:00:29.336547
Ball State,Georgia State,52.5,+5,09/01/2016,2016-09-02 00:00:10.108319
Army,Temple,47,+16,09/01/2016,2016-09-02 00:00:10.108319
Colorado State,Colorado,59.5,+8.5,09/01/2016,2016-09-02 00:00:10.108319
Kansas State,Stanford,48,+15,09/01/2016,2016-09-02 00:00:10.108319
Toledo,Arkansas State,65,+4,09/01/2016,2016-09-02 00:00:10.108319
Ball State,Georgia State,52,+5.5,09/02/2016,2016-09-02 12:00:13.252135
Army,Temple,47,+15.5,09/02/2016,2016-09-02 12:00:13.252135
Colorado State,Colorado,59.5,+8.5,09/02/2016,2016-09-02 12:00:13.252135
Kansas State,Stanford,48,+13,09/02/2016,2016-09-02 12:00:13.252135
Toledo,Arkansas State,65.5,+4,09/02/2016,2016-09-02 12:00:13.252135
Kansas State,Stanford,48.5,+13,09/02/2016,2016-09-02 12:06:22.193914
Kansas State,Stanford,49,+13,09/02/2016,2016-09-02 12:12:16.182495
Ball State,Georgia State,52,+6,09/02/2016,2016-09-02 12:18:14.898427
Ball State,Georgia State,53,+6,09/02/2016,2016-09-02 13:24:16.961200
Toledo,Arkansas State,65,+4,09/02/2016,2016-09-02 13:24:16.961200
Ball State,Georgia State,53.5,+6,09/02/2016,2016-09-02 13:30:18.540328
Army,Temple,46,+15.5,09/02/2016,2016-09-02 13:30:18.540328
Toledo,Arkansas State,64.5,+4,09/02/2016,2016-09-02 13:30:18.540328
Colorado State,Colorado,59,+8.5,09/02/2016,2016-09-02 14:42:23.708229
Ball State,Georgia State,53.5,+5.5,09/02/2016,2016-09-02 15:54:19.721102
Colorado State,Colorado,59,+8,09/02/2016,2016-09-02 15:54:19.721102
Ball State,Georgia State,54,+5.5,09/02/2016,2016-09-02 16:06:16.813969
Ball State,Georgia State,54.5,+5.5,09/02/2016,2016-09-02 16:18:08.518268
Colorado State,Colorado,59,+7.5,09/02/2016,2016-09-02 16:18:08.518268
Toledo,Arkansas State,66,+4,09/02/2016,2016-09-02 16:42:07.197879
Colorado State,Colorado,58.5,+7.5,09/02/2016,2016-09-02 17:00:10.261181
Kansas State,Stanford,49,+13.5,09/02/2016,2016-09-02 17:00:10.261181
Army,Temple,46,+15,09/02/2016,2016-09-02 17:12:16.736656
Kansas State,Stanford,50,+13.5,09/02/2016,2016-09-02 17:12:16.736656
Colorado State,Colorado,58.5,+7,09/02/2016,2016-09-02 17:18:18.280467
Army,Temple,45.5,+15.5,09/02/2016,2016-09-02 17:42:06.912685
Ball State,Georgia State,55,+5.5,09/02/2016,2016-09-02 18:12:17.554599
Colorado State,Colorado,58,+7,09/02/2016,2016-09-02 18:12:17.554599
Ball State,Georgia State,55.5,+5.5,09/02/2016,2016-09-02 18:30:25.526817
Ball State,Georgia State,55.5,+6,09/02/2016,2016-09-02 18:36:12.983945
Army,Temple,45.5,+14.5,09/02/2016,2016-09-02 18:42:06.265514
Colorado State,Colorado,58,+7.5,09/02/2016,2016-09-02 18:48:21.018567
Ball State,Georgia State,55.5,+6.5,09/02/2016,2016-09-02 18:54:13.031679
