"game_id","game_date","team1","team2","spread","line","total_yards.team1","total_yards.team2","score.team1","score.team2","half.line","half.spread","total_yards_2H.team1","total_yards_2H.team2","score.final.team1","score.final.team2"
400926949,"12/03/2016 19:45","SDSU","WYO",7,"58.5",160,122,10,10,"27.5",4,167,221,27,24
400869855,"12/03/2016 19:30","ARST","TXST",26,"54",185,138,13,7,"26.5",12,172,99,36,14
400869857,"12/03/2016 17:00","GAST","IDHO",-4.5,"53.5",207,179,12,24,"26.5",0.5,151,108,12,37
400868886,"12/03/2016 15:30","BAY","WVU",-18,"70.5",189,196,14,10,"33.5",-10,251,226,21,24
400869859,"12/03/2016 13:00","NMSU","USA",-11.5,"58",200,231,7,7,"28",-4.5,263,290,28,35
400869618,"12/03/2016 12:30","OKST","OKLA",-11.5,"75",260,277,17,17,"36.5",-5,143,352,20,38
400869611,"12/03/2016 12:00","KSU","TCU",-3.5,"52",222,158,10,6,"24.5",-2.5,273,122,30,6
400869856,"12/03/2016 12:00","TROY","GASO",7,"54",162,127,10,7,"24",3,182,266,24,28
400926947,"12/03/2016 12:00","TEM","NAVY",-2,"60",274,126,24,3,"25",1.5,114,180,34,10
400926948,"12/03/2016 12:00","LT","WKU",-10,"80",301,408,27,38,"41.5",-4.5,206,248,44,58
400926942,"12/02/2016 21:00","COLO","WASH",-9,"55.5",118,186,7,14,"24.5",-3.5,45,197,10,41
400868933,"11/26/2016 22:15","USU","BYU",-17.5,"52",154,128,10,14,"24.5",-7,46,227,10,28
400869254,"11/26/2016 22:15","WYO","UNM",3.5,"65.5",150,456,7,35,"33",3,299,234,35,56
400869253,"11/26/2016 21:00","CSU","SDSU",-12,"53.5",351,226,42,24,"30",-6.5,156,151,63,31
400869069,"11/26/2016 20:00","FLA","FSU",-8,"47",124,162,3,10,"21.5",-3.5,83,225,13,31
400869172,"11/26/2016 20:00","RICE","STAN",-34,"51.5",110,295,3,20,"24",-14.5,181,239,17,41
400869074,"11/26/2016 19:30","SC","CLEM",-26,"50.5",52,380,0,35,"21",-11,166,242,7,56
400869075,"11/26/2016 19:30","TENN","VAN",7,"51.5",289,340,31,24,"29.5",3.5,227,268,34,45
400869170,"11/26/2016 19:30","UTAH","COLO",-10.5,"54.5",86,186,7,13,"24.5",-6.5,253,192,22,27
400869571,"11/26/2016 19:30","ECU","TEM",-23,"59",96,205,7,21,"27",-10,129,209,10,37
400869169,"11/26/2016 19:00","UCLA","CAL",3,"71.5",97,267,0,12,"32.5",3,163,229,10,36
400869415,"11/26/2016 19:00","CHAR","UTSA",-12,"53.5",131,322,7,17,"24.5",-4.5,106,198,14,33
400869419,"11/26/2016 19:00","WKU","MRSH",28,"63.5",286,93,41,0,"24",10,176,137,60,6
400869417,"11/26/2016 17:30","FAU","MTSU",-16.5,"63",256,467,21,42,"33",-7,333,290,56,77
400869171,"11/26/2016 16:00","ORE","ORST",2,"70.5",190,202,14,14,"34.5",0,194,209,24,34
400869256,"11/26/2016 16:00","NEV","UNLV",-9.5,"59",277,169,27,10,"31",-6.5,234,134,45,10
400869420,"11/26/2016 16:00","UNT","UTEP",4,"51.5",277,169,17,31,"27",3.5,27,386,24,52
400869570,"11/26/2016 16:00","TULN","CONN",1.5,"36",241,159,24,0,"17.5",NA,180,149,38,13
400869851,"11/26/2016 16:00","APP","NMSU",21,"59.5",371,123,20,7,"28",9.5,233,117,37,7
400869854,"11/26/2016 16:00","TROY","TXST",28.5,"57.5",304,100,30,0,"23.5",11,87,156,40,7
400868956,"11/26/2016 15:30","ND","USC",-17.5,"61",192,238,7,24,"27.5",-6.5,216,174,27,45
400869068,"11/26/2016 15:30","AUB","ALA",-20.5,"47",31,263,9,13,"21.5",-10.5,151,238,12,30
400869072,"11/26/2016 15:30","MSST","MISS",-10,"68",317,358,27,20,"38",-5.5,249,170,55,20
400869255,"11/26/2016 15:30","SJSU","FRES",3.5,"51.5",142,198,7,14,"24.5",3,180,47,16,14
400869416,"11/26/2016 15:30","FIU","ODU",-14,"60.5",153,220,14,14,"28.5",-7,79,301,28,42
400869499,"11/26/2016 15:30","DUKE","MIAMI",-15.5,"55",209,213,14,16,"28",-6.5,186,355,21,40
400869572,"11/26/2016 15:30","NAVY","SMU",7,"66.5",234,280,28,24,"35.5",4,366,147,75,31
400869596,"11/26/2016 15:30","WVU","ISU",7.5,"60.5",282,263,21,16,"31",3,331,298,49,19
400869702,"11/26/2016 15:30","MSU","PSU",-11,"53.5",256,125,12,10,"26.5",-5,87,338,12,45
400869703,"11/26/2016 15:30","MINN","WIS",-14,"43",226,144,17,7,"23",-7.5,60,218,17,31
400869853,"11/26/2016 15:30","USA","IDHO",-6.5,"53",253,240,21,24,"27.5",-2.5,216,167,31,38
400869498,"11/26/2016 15:00","BC","WAKE",-3,"34.5",58,128,10,0,"16.5",-2.5,109,159,17,14
400869500,"11/26/2016 12:30","SYR","PITT",-25,"67",266,290,21,35,"34.5",-10.5,402,354,61,76
400869070,"11/26/2016 12:00","GT","UGA",-4.5,"49.5",201,239,14,14,"25.5",-3,189,163,28,27
400869071,"11/26/2016 12:00","UK","LOU",-27.5,"71.5",296,317,21,24,"38.5",-11.5,285,244,41,38
400869501,"11/26/2016 12:00","UVA","VT",-19,"53.5",94,366,0,28,"23.5",-7.5,153,213,10,52
400869569,"11/26/2016 12:00","UCF","USF",-12.5,"66",185,254,14,24,"31.5",-4.5,217,249,31,48
400869604,"11/26/2016 12:00","KU","KSU",-26.5,"53.5",127,219,3,20,"24",-10.5,276,222,19,34
400869642,"11/26/2016 12:00","RUTG","MD",-15.5,"54",159,226,7,21,"27",-6.5,191,188,13,31
400869650,"11/26/2016 12:00","MICH","OSU",-4,"46",172,81,10,7,"21.5",-0.5,138,249,27,30
400869700,"11/26/2016 12:00","PUR","IND",-21,"67",162,200,16,17,"31.5",-9.5,105,69,24,26
400869701,"11/26/2016 12:00","ILL","NW",-16.5,"48",191,229,14,21,"24.5",-7.5,243,170,21,42
400869167,"11/25/2016 21:30","ASU","ARIZ",1.5,"65.5",209,263,14,28,"32",3.5,283,325,35,56
400869567,"11/25/2016 20:30","CIN","TLSA",-23.5,"63",303,259,24,14,"34.5",-13,231,352,37,40
400869340,"11/25/2016 17:00","TOL","WMU",-7,"71.5",197,212,14,24,"34",-2,259,233,35,55
400869418,"11/25/2016 16:00","LT","USM",15.5,"72.5",139,300,17,23,"37",9,115,126,24,39
400869168,"11/25/2016 15:30","WASH","WSU",6,"63",386,153,35,10,"31",3,124,181,45,17
400869252,"11/25/2016 15:30","BSU","AFA",7,"64.5",146,194,10,17,"30",4,254,165,20,27
400869632,"11/25/2016 15:30","TCU","TEX",-3,"61.5",102,254,7,6,"28.5",-2.5,385,153,31,9
400869699,"11/25/2016 15:30","NEB","IOWA",-3,"45",143,296,3,20,"21.5",NA,74,112,10,40
400869073,"11/25/2016 14:30","ARK","MIZ",8.5,"72",318,137,24,7,"34",3,185,262,24,28
400869338,"11/25/2016 14:30","BUFF","BGSU",-12,"59.5",175,297,12,14,"31",-5,226,195,19,27
400869161,"11/19/2016 22:30","ARIZ","ORST",-3,"59.5",188,233,10,21,"28.5",NA,162,242,17,42
400869248,"11/19/2016 22:15","UNM","CSU",-7,"62.5",108,303,10,28,"-",NA,258,273,31,49
400869066,"11/19/2016 20:00","MISS","VAN",9,"50",188,206,10,14,"24.5",6,175,275,17,38
400869564,"11/19/2016 20:00","TLSA","UCF",-1,"64",195,114,14,14,"30",1,279,207,35,20
400869617,"11/19/2016 20:00","OKLA","WVU",3.5,"63",357,259,34,7,"31.5",NA,128,320,56,28
400869641,"11/19/2016 20:00","PSU","RUTG",25.5,"55",216,66,9,0,"23.5",11.5,333,21,39,0
400869162,"11/19/2016 19:30","ASU","WASH",-27.5,"64",48,290,0,24,"25",-11,197,249,18,44
